# Q6 — REDUCED FORM (QUERY_INVENTORY §3.1): per-layer per-DISTANCE-CLASS mass.
# The spec's per-(state,choice) argmax/argmin is NOT served by this atlas schema.
# §9 already rules the per-layer argmin 'loneliest corridor' figure fodder, not a headline.
# anchor_* (Q-394 §3): the anchor's transition class d_k at layer k (profile dclass, step k+1), its class
# mass m_k(d_k), anchor_p = m_k(d_k)/N, anchor_class_pct = sum_{d: m_k(d) <= m_k(d_k)} m_k(d)/N. Label-free.
k	flow	d1	d2	d3	d4	d6	anchor_d	anchor_class_mass	anchor_p	anchor_class_pct
0	26112	14208	9216	0	2688	0	1	14208	0.544117647	1.000000000
1	26112	5952	15552	0	4608	0	2	15552	0.595588235	1.000000000
2	26112	5952	15264	0	4896	0	2	15264	0.584558824	1.000000000
3	26112	0	15168	0	10944	0	4	10944	0.419117647	0.419117647
4	26112	0	18528	0	7584	0	2	18528	0.709558824	1.000000000
5	26112	0	18528	0	7584	0	2	18528	0.709558824	1.000000000
6	26112	14208	8640	0	3264	0	1	14208	0.544117647	1.000000000
7	26112	5952	14688	0	5472	0	4	5472	0.209558824	0.209558824
8	26112	5952	14976	0	5184	0	2	14976	0.573529412	1.000000000
