4.623664e+38	1:4,2:22,3:7,4:21,6:9
4.484963e+38	1:6,2:19,3:9,4:20,6:9
1.961736e+39	1:2,2:22,3:12,4:19,6:8
1.580934e+39	1:5,2:21,3:9,4:20,6:8
1.182455e+39	1:2,2:20,3:13,4:19,6:9
2.699397e+39	1:4,2:21,3:11,4:19,6:8
1.032797e+39	1:6,2:19,3:10,4:20,6:8
3.731289e+38	1:4,2:16,3:16,4:19,6:8
1.041458e+39	1:4,2:21,3:9,4:20,6:9
2.601191e+39	1:4,2:19,3:12,4:20,6:8
5.957149e+38	1:6,2:20,3:12,4:17,6:8
1.038455e+39	1:1,2:22,3:10,4:22,6:8
7.870803e+38	1:2,2:21,3:13,4:18,6:9
8.266656e+38	1:2,2:17,3:13,4:23,6:8
5.725297e+38	1:3,2:20,3:8,4:23,6:9
3.160998e+38	1:4,2:19,3:16,4:16,6:8
9.934266e+38	1:4,2:18,3:15,4:18,6:8
7.317740e+37	1:5,2:16,3:8,4:26,6:8
2.246590e+38	1:4,2:20,3:10,4:19,6:10
4.502072e+38	1:6,2:19,3:13,4:17,6:8
4.484963e+38	1:6,2:19,3:9,4:20,6:9
1.076888e+39	1:3,2:18,3:12,4:21,6:9
1.702459e+39	1:2,2:20,3:10,4:23,6:8
1.041458e+39	1:4,2:21,3:9,4:20,6:9
1.274903e+39	1:1,2:22,3:12,4:20,6:8
1.303796e+36	1:2,2:25,3:3,4:24,6:9
1.702459e+39	1:2,2:20,3:10,4:23,6:8
9.419640e+37	1:6,2:22,3:6,4:20,6:9
5.679173e+38	1:6,2:19,3:8,4:22,6:8
1.152234e+39	1:4,2:19,3:10,4:21,6:9
7.015268e+35	2:19,3:19,4:15,6:10
6.470135e+37	1:1,2:25,3:12,4:16,6:9
2.360814e+38	1:4,2:22,3:6,4:22,6:9
1.378185e+39	1:1,2:20,3:13,4:21,6:8
1.111202e+39	1:2,2:21,3:12,4:19,6:9
5.961217e+37	1:9,2:20,3:9,4:17,6:8
5.967045e+38	1:5,2:21,3:7,4:22,6:8
4.502072e+38	1:6,2:19,3:13,4:17,6:8
5.529025e+38	1:3,2:19,3:8,4:25,6:8
1.453027e+39	1:3,2:20,3:10,4:21,6:9
6.904850e+37	1:2,2:24,3:13,4:15,6:9
2.930600e+38	1:4,2:15,3:14,4:22,6:8
3.443206e+37	1:2,2:19,3:11,4:20,6:11
8.534123e+38	1:5,2:22,3:11,4:17,6:8
1.917916e+39	1:5,2:20,3:11,4:19,6:8
5.034982e+38	1:3,2:25,3:10,4:17,6:8
6.445177e+38	1:3,2:23,3:7,4:22,6:8
1.264616e+39	1:5,2:21,3:8,4:21,6:8
1.533664e+39	1:2,2:22,3:9,4:22,6:8
1.109212e+39	1:4,2:17,3:14,4:20,6:8
3.013106e+38	1:5,2:23,3:6,4:21,6:8
3.068854e+39	1:3,2:21,3:11,4:20,6:8
6.880558e+38	1:5,2:20,3:11,4:18,6:9
1.978671e+38	1:4,2:17,3:8,4:26,6:8
3.590915e+38	1:1,2:23,3:9,4:21,6:9
3.801739e+38	1:5,2:19,3:13,4:17,6:9
2.075391e+39	1:3,2:18,3:12,4:22,6:8
9.520371e+37	1:7,2:15,3:14,4:19,6:8
1.812965e+38	1:4,2:16,3:10,4:24,6:9
3.199680e+38	1:7,2:17,3:11,4:20,6:8
9.992574e+38	1:5,2:17,3:13,4:20,6:8
8.409502e+38	1:5,2:23,3:9,4:18,6:8
2.692122e+39	1:3,2:20,3:10,4:22,6:8
4.034669e+38	1:1,2:17,3:14,4:23,6:8
1.460581e+37	2:16,3:19,4:20,6:8
2.507928e+38	1:7,2:20,3:7,4:21,6:8
1.533664e+39	1:2,2:22,3:9,4:22,6:8
2.201995e+39	1:4,2:21,3:9,4:21,6:8
2.355134e+39	1:2,2:22,3:11,4:20,6:8
6.798024e+38	1:3,2:21,3:13,4:17,6:9
4.646560e+38	1:2,2:22,3:7,4:24,6:8
3.370969e+39	1:3,2:20,3:12,4:20,6:8
5.223612e+38	1:3,2:23,3:13,4:16,6:8
1.517898e+39	1:3,2:18,3:11,4:23,6:8
1.134005e+39	1:5,2:17,3:12,4:21,6:8
2.507928e+38	1:7,2:20,3:7,4:21,6:8
1.964118e+39	1:4,2:22,3:11,4:18,6:8
9.216210e+38	1:3,2:20,3:15,4:17,6:8
8.169319e+38	1:5,2:19,3:8,4:23,6:8
8.844124e+38	1:3,2:18,3:11,4:22,6:9
3.032818e+39	1:3,2:21,3:10,4:21,6:8
1.378185e+39	1:1,2:20,3:13,4:21,6:8
6.704206e+38	1:4,2:24,3:10,4:17,6:8
2.372072e+39	1:2,2:20,3:11,4:22,6:8
3.472231e+38	1:2,2:25,3:7,4:21,6:8
9.992574e+38	1:5,2:17,3:13,4:20,6:8
2.709857e+39	1:3,2:19,3:13,4:20,6:8
3.188356e+39	1:4,2:20,3:11,4:20,6:8
1.250112e+38	1:5,2:24,3:11,4:15,6:8
1.238458e+38	1:7,2:22,3:6,4:20,6:8
2.709688e+38	1:1,2:17,3:14,4:22,6:9
9.428046e+38	1:6,2:20,3:9,4:20,6:8
1.786825e+39	1:2,2:23,3:11,4:19,6:8
6.095784e+38	1:4,2:16,3:14,4:21,6:8
3.248932e+38	1:7,2:19,3:8,4:21,6:8
2.172042e+38	1:5,2:17,3:8,4:25,6:8
7.025585e+38	1:2,2:21,3:8,4:24,6:8
2.267087e+39	1:4,2:20,3:13,4:18,6:8
1.401118e+37	2:17,3:14,4:22,6:10
5.608162e+38	1:6,2:17,3:13,4:19,6:8
1.499556e+39	1:2,2:18,3:14,4:21,6:8
1.020888e+39	1:2,2:19,3:13,4:20,6:9
4.646560e+38	1:2,2:22,3:7,4:24,6:8
5.815659e+38	1:4,2:18,3:14,4:18,6:9
9.724311e+38	1:2,2:22,3:10,4:20,6:9
4.026175e+38	1:1,2:23,3:14,4:17,6:8
8.466158e+38	1:5,2:20,3:10,4:19,6:9
2.507174e+39	1:4,2:20,3:12,4:19,6:8
1.411353e+39	1:4,2:22,3:8,4:21,6:8
1.242638e+39	1:2,2:18,3:15,4:20,6:8
4.654256e+38	1:7,2:20,3:9,4:19,6:8
2.360814e+38	1:4,2:22,3:6,4:22,6:9
6.944726e+38	1:3,2:19,3:9,4:23,6:9
1.076801e+39	1:4,2:19,3:12,4:19,6:9
1.132270e+39	1:1,2:22,3:11,4:21,6:8
3.188356e+39	1:4,2:20,3:11,4:20,6:8
3.509897e+37	1:5,2:15,3:9,4:26,6:8
4.545031e+38	1:4,2:23,3:8,4:19,6:9
4.502072e+38	1:6,2:19,3:13,4:17,6:8
9.234409e+37	2:22,3:14,4:18,6:9
1.416906e+38	1:2,2:22,3:12,4:17,6:10
1.123278e+38	1:2,2:25,3:13,4:15,6:8
1.318738e+39	1:2,2:20,3:11,4:21,6:9
9.177567e+38	1:5,2:20,3:13,4:17,6:8
3.101083e+38	1:5,2:22,3:7,4:20,6:9
2.266603e+38	2:24,3:11,4:20,6:8
7.909373e+38	1:5,2:19,3:14,4:17,6:8
1.053696e+38	1:2,2:26,3:6,4:21,6:8
2.914989e+37	1:1,2:24,3:14,4:15,6:9
6.563251e+36	1:4,2:14,3:15,4:20,6:10
1.583139e+38	1:6,2:18,3:15,4:16,6:8
6.045350e+38	1:2,2:18,3:10,4:25,6:8
5.228076e+38	1:5,2:21,3:13,4:16,6:8
3.269525e+38	1:5,2:20,3:7,4:22,6:9
6.187453e+38	1:4,2:17,3:13,4:20,6:9
1.271653e+39	1:2,2:20,3:15,4:18,6:8
1.385097e+39	1:3,2:19,3:15,4:18,6:8
1.232323e+39	1:3,2:23,3:8,4:21,6:8
1.360294e+39	1:2,2:18,3:12,4:23,6:8
1.380481e+39	1:3,2:18,3:15,4:19,6:8
2.709857e+39	1:3,2:19,3:13,4:20,6:8
7.804586e+37	1:5,2:23,3:11,4:15,6:9
9.821586e+38	1:1,2:23,3:12,4:19,6:8
2.383068e+38	1:1,2:19,3:10,4:24,6:9
2.645618e+39	1:4,2:19,3:11,4:21,6:8
1.032797e+39	1:6,2:19,3:10,4:20,6:8
2.016677e+39	1:3,2:18,3:13,4:21,6:8
4.248780e+38	1:7,2:18,3:10,4:20,6:8
1.879445e+39	1:5,2:19,3:11,4:20,6:8
1.877888e+38	1:2,2:16,3:15,4:21,6:9
7.704292e+37	1:1,2:19,3:8,4:26,6:9
2.071510e+38	1:1,2:17,3:15,4:21,6:9
2.361669e+37	1:7,2:19,3:15,4:14,6:8
1.178830e+39	1:3,2:22,3:13,4:17,6:8
5.070216e+37	1:3,2:24,3:14,4:14,6:8
6.927873e+38	1:4,2:21,3:7,4:23,6:8
1.932213e+38	1:2,2:22,3:11,4:18,6:10
1.084441e+39	1:4,2:17,3:11,4:23,6:8
1.112450e+39	1:3,2:18,3:10,4:24,6:8
4.947596e+37	1:3,2:24,3:4,4:24,6:8
5.933183e+38	1:3,2:25,3:8,4:19,6:8
1.250783e+39	1:2,2:20,3:12,4:20,6:9
3.977778e+38	1:3,2:24,3:9,4:18,6:9
1.169851e+39	1:4,2:19,3:11,4:20,6:9
1.846816e+38	1:5,2:20,3:9,4:19,6:10
1.232323e+39	1:3,2:23,3:8,4:21,6:8
5.967045e+38	1:5,2:21,3:7,4:22,6:8
