Sub-branch INTERRUPTED (thread 56, pair1 1 orient1 1 pair2 3 orient2 0): 3300330754 nodes, 810356 C3-valid, 0 solutions, 157s elapsed
Sub-branch INTERRUPTED (thread 4, pair1 1 orient1 0 pair2 4 orient2 0): 3300330754 nodes, 810356 C3-valid, 0 solutions, 157s elapsed
Sub-branch INTERRUPTED (thread 3, pair1 1 orient1 0 pair2 3 orient2 1): 3300330754 nodes, 810356 C3-valid, 0 solutions, 157s elapsed
Sub-branch INTERRUPTED (thread 58, pair1 1 orient1 1 pair2 4 orient2 0): 3300330754 nodes, 810356 C3-valid, 0 solutions, 157s elapsed
Sub-branch INTERRUPTED (thread 26, pair1 1 orient1 0 pair2 16 orient2 1): 3300330744 nodes, 5478408 C3-valid, 0 solutions, 157s elapsed
Sub-branch INTERRUPTED (thread 25, pair1 1 orient1 0 pair2 16 orient2 0): 3300330740 nodes, 3445298 C3-valid, 0 solutions, 158s elapsed
Sub-branch INTERRUPTED (thread 20, pair1 1 orient1 0 pair2 13 orient2 0): 3300330742 nodes, 8297972 C3-valid, 0 solutions, 159s elapsed
Sub-branch INTERRUPTED (thread 21, pair1 1 orient1 0 pair2 13 orient2 1): 3300330729 nodes, 4048148 C3-valid, 0 solutions, 159s elapsed
Sub-branch INTERRUPTED (thread 23, pair1 1 orient1 0 pair2 14 orient2 1): 3300330736 nodes, 9773000 C3-valid, 0 solutions, 160s elapsed
Sub-branch INTERRUPTED (thread 22, pair1 1 orient1 0 pair2 14 orient2 0): 3300330736 nodes, 9773000 C3-valid, 0 solutions, 160s elapsed
Sub-branch INTERRUPTED (thread 31, pair1 1 orient1 0 pair2 19 orient2 0): 3300330754 nodes, 0 C3-valid, 0 solutions, 161s elapsed
Sub-branch INTERRUPTED (thread 29, pair1 1 orient1 0 pair2 18 orient2 0): 3300330722 nodes, 0 C3-valid, 0 solutions, 161s elapsed
Sub-branch INTERRUPTED (thread 52, pair1 1 orient1 0 pair2 30 orient2 1): 3300330721 nodes, 252712 C3-valid, 0 solutions, 164s elapsed
Sub-branch INTERRUPTED (thread 51, pair1 1 orient1 0 pair2 30 orient2 0): 3300330721 nodes, 252712 C3-valid, 0 solutions, 164s elapsed
Sub-branch INTERRUPTED (thread 12, pair1 1 orient1 0 pair2 9 orient2 0): 3300330721 nodes, 0 C3-valid, 0 solutions, 164s elapsed
Sub-branch INTERRUPTED (thread 47, pair1 1 orient1 0 pair2 28 orient2 0): 3300330725 nodes, 0 C3-valid, 0 solutions, 166s elapsed
Sub-branch INTERRUPTED (thread 41, pair1 1 orient1 0 pair2 24 orient2 1): 3300330734 nodes, 0 C3-valid, 0 solutions, 166s elapsed
Sub-branch INTERRUPTED (thread 30, pair1 1 orient1 0 pair2 18 orient2 1): 3300330705 nodes, 0 C3-valid, 0 solutions, 166s elapsed
Sub-branch INTERRUPTED (thread 13, pair1 1 orient1 0 pair2 9 orient2 1): 3300330730 nodes, 0 C3-valid, 0 solutions, 166s elapsed
Sub-branch INTERRUPTED (thread 36, pair1 1 orient1 0 pair2 22 orient2 0): 3300330726 nodes, 584500 C3-valid, 0 solutions, 167s elapsed
Sub-branch INTERRUPTED (thread 37, pair1 1 orient1 0 pair2 22 orient2 1): 3300330726 nodes, 584500 C3-valid, 0 solutions, 167s elapsed
Sub-branch INTERRUPTED (thread 32, pair1 1 orient1 0 pair2 19 orient2 1): 3300330700 nodes, 0 C3-valid, 0 solutions, 167s elapsed
Sub-branch INTERRUPTED (thread 27, pair1 1 orient1 0 pair2 17 orient2 0): 3300330740 nodes, 86057836 C3-valid, 0 solutions, 208s elapsed
Sub-branch INTERRUPTED (thread 40, pair1 1 orient1 0 pair2 24 orient2 0): 3300330745 nodes, 136199516 C3-valid, 0 solutions, 234s elapsed
Sub-branch INTERRUPTED (thread 49, pair1 2 orient1 0 pair2 4 orient2 1): 3300330649 nodes, 1120480 C3-valid, 0 solutions, 297s elapsed
Sub-branch INTERRUPTED (thread 50, pair1 2 orient1 0 pair2 5 orient2 1): 3300330650 nodes, 6384352 C3-valid, 0 solutions, 301s elapsed
Sub-branch INTERRUPTED (thread 59, pair1 2 orient1 0 pair2 11 orient2 0): 3300330669 nodes, 0 C3-valid, 0 solutions, 302s elapsed
Sub-branch INTERRUPTED (thread 46, pair1 2 orient1 0 pair2 3 orient2 0): 3300330752 nodes, 1359880 C3-valid, 0 solutions, 304s elapsed
Sub-branch INTERRUPTED (thread 35, pair1 1 orient1 1 pair2 26 orient2 1): 3300330728 nodes, 250174 C3-valid, 0 solutions, 304s elapsed
Sub-branch INTERRUPTED (thread 55, pair1 2 orient1 0 pair2 8 orient2 1): 3300330670 nodes, 1965960 C3-valid, 0 solutions, 304s elapsed
Sub-branch INTERRUPTED (thread 53, pair1 2 orient1 0 pair2 7 orient2 1): 3300330715 nodes, 2389552 C3-valid, 0 solutions, 305s elapsed
Sub-branch INTERRUPTED (thread 39, pair1 1 orient1 1 pair2 29 orient2 0): 3300330726 nodes, 0 C3-valid, 0 solutions, 305s elapsed
Sub-branch INTERRUPTED (thread 5, pair1 1 orient1 1 pair2 10 orient2 1): 3300330752 nodes, 0 C3-valid, 0 solutions, 305s elapsed
Sub-branch INTERRUPTED (thread 58, pair1 2 orient1 0 pair2 10 orient2 0): 3300330703 nodes, 0 C3-valid, 0 solutions, 306s elapsed
Sub-branch INTERRUPTED (thread 34, pair1 1 orient1 1 pair2 26 orient2 0): 3300330728 nodes, 250174 C3-valid, 0 solutions, 306s elapsed
Sub-branch INTERRUPTED (thread 45, pair1 2 orient1 0 pair2 1 orient2 1): 3300330744 nodes, 737224 C3-valid, 0 solutions, 306s elapsed
