Time limit: 14400 seconds
Node limit: 10000000000000 (reproducible mode)
Build: Apr 12 2026 03:29:49
King Wen complement distance (x64): 776 (= 12.1250)
Difference distribution: 1:2 2:20 3:13 4:19 6:9 
Super-pairs: 20
Hash table: 4194304 slots (2^22) x 32 bytes = 128 MB per thread
Per-branch node limit: 178571428571 (10000000000000 total / 56 branches)
Total hash memory: 7168 MB (56 threads x 128 MB)
Branches: 56 remaining (56 total), Threads: 56
Time limit: 14400 seconds (4.0 hours)
CPU cores detected: 64

Starting enumeration...

  581.6B nodes, 36789.2M sol, 1317293549 C3 (18054466 stored), 0/56 branches (0%), 0/56 threads, 1264M/s, 460s
  594.4B nodes, 37485.2M sol, 1344918182 C3 (18151217 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 470s
  607.0B nodes, 38192.9M sol, 1376205258 C3 (18272882 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 480s
  619.8B nodes, 38936.8M sol, 1400300829 C3 (18401939 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 490s
  632.5B nodes, 39690.0M sol, 1428831448 C3 (18535257 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 500s
  645.2B nodes, 40344.4M sol, 1448621862 C3 (18618613 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 510s
  658.1B nodes, 41082.9M sol, 1468604519 C3 (18799868 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 520s
  670.9B nodes, 41772.4M sol, 1490003619 C3 (18931957 stored), 0/56 branches (0%), 0/56 threads, 1266M/s, 530s
  683.7B nodes, 42504.6M sol, 1509158885 C3 (19099379 stored), 0/56 branches (0%), 0/56 threads, 1266M/s, 540s
  696.4B nodes, 43234.9M sol, 1532284552 C3 (19273547 stored), 0/56 branches (0%), 0/56 threads, 1266M/s, 550s
  709.1B nodes, 43965.0M sol, 1551490678 C3 (19426629 stored), 0/56 branches (0%), 0/56 threads, 1266M/s, 560s
  721.9B nodes, 44624.1M sol, 1570572270 C3 (19526420 stored), 0/56 branches (0%), 0/56 threads, 1266M/s, 570s
  734.6B nodes, 45270.7M sol, 1590023149 C3 (19657571 stored), 0/56 branches (0%), 0/56 threads, 1266M/s, 580s
  747.1B nodes, 45932.4M sol, 1609764097 C3 (19867964 stored), 0/56 branches (0%), 0/56 threads, 1266M/s, 590s
  759.7B nodes, 46621.1M sol, 1628537481 C3 (19981242 stored), 0/56 branches (0%), 0/56 threads, 1266M/s, 600s
  772.4B nodes, 47312.8M sol, 1648486930 C3 (20126960 stored), 0/56 branches (0%), 0/56 threads, 1266M/s, 610s
  784.9B nodes, 47937.8M sol, 1667926012 C3 (20333889 stored), 0/56 branches (0%), 0/56 threads, 1266M/s, 620s
  797.4B nodes, 48610.0M sol, 1688214864 C3 (20560049 stored), 0/56 branches (0%), 0/56 threads, 1266M/s, 630s
  809.8B nodes, 49254.4M sol, 1707195917 C3 (20710447 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 640s
  822.4B nodes, 49959.1M sol, 1726545634 C3 (20840010 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 650s
  835.0B nodes, 50704.4M sol, 1745595566 C3 (20958562 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 660s
  847.8B nodes, 51413.2M sol, 1759892113 C3 (21026607 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 670s
  860.4B nodes, 52078.6M sol, 1777888614 C3 (21120314 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 680s
  873.0B nodes, 52770.2M sol, 1795915473 C3 (21145172 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 690s
  885.8B nodes, 53454.8M sol, 1813282150 C3 (21191331 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 700s
  898.4B nodes, 54120.9M sol, 1829136852 C3 (21229411 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 710s
  911.1B nodes, 54751.7M sol, 1842805341 C3 (21281394 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 720s
  923.8B nodes, 55442.0M sol, 1856257944 C3 (21296164 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 730s
  936.5B nodes, 56135.9M sol, 1869554583 C3 (21333418 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 740s
  949.1B nodes, 56815.0M sol, 1887864609 C3 (21501738 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 750s
  961.7B nodes, 57500.2M sol, 1906052121 C3 (21593709 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 760s
  974.4B nodes, 58189.2M sol, 1923740926 C3 (21612424 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 770s
  987.0B nodes, 58848.4M sol, 1943714153 C3 (21635772 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 780s
  999.6B nodes, 59531.4M sol, 1964167490 C3 (21647754 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 790s
  1012.1B nodes, 60231.0M sol, 1983999454 C3 (21654678 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 800s
  1024.6B nodes, 60911.9M sol, 2003326803 C3 (21670228 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 810s
  1037.1B nodes, 61605.8M sol, 2026019771 C3 (21681464 stored), 0/56 branches (0%), 0/56 threads, 1265M/s, 820s
  1049.5B nodes, 62239.7M sol, 2047351482 C3 (21691587 stored), 0/56 branches (0%), 0/56 threads, 1264M/s, 830s
  1061.9B nodes, 62899.5M sol, 2070670895 C3 (21781278 stored), 0/56 branches (0%), 0/56 threads, 1264M/s, 840s
  1074.5B nodes, 63563.1M sol, 2090895627 C3 (21818831 stored), 0/56 branches (0%), 0/56 threads, 1264M/s, 850s
  1087.0B nodes, 64203.3M sol, 2107168010 C3 (21839182 stored), 0/56 branches (0%), 0/56 threads, 1264M/s, 860s
