k	slot	d	mass	p	is_argmax	is_argmin_nonzero
0	2	1	67316588476317360788535374930333663232	0.061361387364330723	0	1
0	2	2	304475928197561882413036333470698176512	0.27754028830230499	0	0
0	2	3	458591394366226205277428420967596556288	0.41802184021185834	1	0
0	2	4	266667367749076341557111941807950790656	0.24307648412150595	0	0
0	2	6	0	0	0	0
1	3	1	71998108305944144477576115876173709312	0.065628753822162839	0	0
1	3	2	284253076920623295982251996767657656320	0.25910646331350538	0	0
1	3	3	459303891379192234311570163719865368576	0.41867130576259578	1	0
1	3	4	247159118084818561680835832264307769344	0.22529404309852197	0	0
1	3	6	34337084098603553583877962548574683136	0.031299434003214032	0	1
2	4	1	71188342791859488118571517652626309120	0.064890624684773385	0	0
2	4	2	281579018537084122646156169827850387456	0.25666896705855316	0	0
2	4	3	461184432038024503588389519822875000832	0.42038548329940867	1	0
2	4	4	246502591744582886696828064628582907904	0.22469559674243159	0	0
2	4	6	36596893677630788986166799244644581376	0.033359328214833195	0	1
3	5	1	70980069147126672245204217428736737280	0.064700776089033459	0	0
3	5	2	282220491299748411755263702380425773056	0.25725369156055847	0	0
3	5	3	460658598457254230554992569180057763840	0.41990616789188220	1	0
3	5	4	246505313517630275421373563301596758016	0.22469807773224493	0	0
3	5	6	36686806367422200059278018885762154496	0.033441286726280944	0	1
4	6	1	70949934976969644295987751141165236224	0.064673307755747993	0	0
4	6	2	282355217054862517614228910738696568832	0.25737649872346776	0	0
4	6	3	460496805876036341773529894164138819584	0.41975868838536682	1	0
4	6	4	246515775143667488264612737031658799104	0.22470761386445633	0	0
4	6	6	36733545737645798087752778100919762944	0.033483891270961102	0	1
5	7	1	70962317915165368609096648805433999360	0.064684595230121471	0	0
5	7	2	282278327143934134709341814377106374656	0.25730641092318440	0	0
5	7	3	460579863233170210872595585810776981504	0.41983439802514368	1	0
5	7	4	246510022346471349328563621031411974144	0.22470236999180665	0	0
5	7	6	36720748150440726516514401151849857024	0.033472225829743808	0	1
6	8	1	70969135930029029801624240359584301056	0.064690810085338801	0	0
6	8	2	282243185597702782003729266898001461248	0.25727437819425842	0	0
6	8	3	460624588495377412303544323493502910464	0.41987516664104335	1	0
6	8	4	246503387483055254748481835629195296768	0.22469632208543766	0	0
6	8	6	36710981283017311178732404796295217152	0.033463322993921772	0	1
7	9	1	70966292178840781594539612055699193856	0.064688217908251703	0	0
7	9	2	282259745599299060277743905412004970496	0.25728947320569175	0	0
7	9	3	460604982259402026971378915405746667520	0.41985729488212519	1	0
7	9	4	246506576190992865128899593973769699328	0.22469922870247486	0	0
7	9	6	36713682560647056063550044329358655488	0.033465785301456499	0	1
8	10	1	70963493547191667682029664504148656128	0.064685666859177495	0	0
8	10	2	282273932150009875873982647534375403520	0.25730240473495123	0	0
8	10	3	460586151793858370900306873451496341504	0.41984013026465677	1	0
8	10	4	246510721652084935185656201012802748416	0.22470300743294281	0	0
8	10	6	36716979646036940394136684673756037120	0.033468790708271688	0	1
9	11	1	70964592183785076342397262798851670016	0.064686668304246336	0	0
9	11	2	282268296862891693723660644109529382912	0.25729726797678219	0	0
9	11	3	460593394305988354817787422000516431872	0.41984673206374311	1	0
