k	d	w	mass	p_cond	kw_d	kw_w
6	1	4	28254317202078259903982199109280858112	0.025754782614412172	4	2
6	1	6	16787923596317922290530347153818124288	0.015302770181214132	4	2
6	2	2	100974497421052822997872746412155863040	0.092041729838279415	4	2
6	2	4	114996937639043639673474360487522074624	0.10482366673503726	4	2
6	2	6	66271750537606319332382159998323523584	0.060408981620941743	4	2
6	3	2	173954848423122841187141032953035882496	0.15856583168575059	4	2
6	3	4	183179966749496770176855188379914993664	0.16697484455938373	4	2
6	3	6	103489773322757800939548102160552034304	0.094334490395909041	4	2
6	4	2	95219949036003882879424630264675958784	0.086796260919633926	4	2
6	4	4	93255968732534420843247439736828067840	0.085006025274826956	4	2
6	4	6	58027469714516951025809765627691270144	0.052894035890976776	4	2
6	6	2	17177497777099825793307935915800264704	0.015657880455741934	4	2
6	6	4	19533483505917485385424468880494952448	0.017805442538179837	4	2
6	6	6	0	0	4	2
7	1	2	25916481331036239848259279592190115840	0.023623764752036317	2	6
7	1	4	28263826892388912994637293438554341376	0.025763451024444152	2	6
7	1	6	16785983955415628751643039024954736640	0.015301002131771234	2	6
7	2	2	100902307232698026980374762282354212864	0.091975925996881525	2	6
7	2	4	115087694919337103833632552379308048384	0.10490639511979757	2	6
7	2	6	66269743447263929463736590750342709248	0.060407152089012657	2	6
7	3	2	173878297850195687506647639141673598976	0.15849605320373501	2	6
7	3	4	183246698447579951662382366176434978816	0.16703567279902338	2	6
7	3	6	103479985961626387802348910087638089728	0.094325568879366792	2	6
7	4	2	95151362178529531004296382232838275072	0.086733741638356527	2	6
7	4	4	93329848168378591082215916501779611648	0.085073368923453583	2	6
7	4	6	58025365844084743042387295239151812608	0.052892118140664749	2	6
7	6	2	17166220183285790700217345567749046272	0.015647600540817190	2	6
7	6	4	19547462377361265363332698761609609216	0.017818184760639309	2	6
7	6	6	0	0	2	6
8	1	2	25931482661008182107401015534087569408	0.023637438980636187	3	4
8	1	4	28245305938543444861069532484329275392	0.025746568537541708	3	4
8	1	6	16786704947640040713559116485731811328	0.015301659340999601	3	4
8	2	2	100847733200679967378232577673018736640	0.091926179888314665	3	4
8	2	4	115158634925154010079963015488028540928	0.10497105937678217	3	4
8	2	6	66267564024175898415787054373328125952	0.060405165469854402	3	4
8	3	2	173970400870253889715855494737490345984	0.15858000827660987	3	4
8	3	4	183135241381085364126240860808476098560	0.16693407584667526	3	4
8	3	6	103480509542519117058210517905529896960	0.094326046141371633	3	4
8	4	2	95099851282213424781976236832774422528	0.086686787683411997	3	4
8	4	4	93387483735833783664761837453806927872	0.085125905726946311	3	4
8	4	6	58023386634037726738918126726221398016	0.052890314022584507	3	4
8	6	2	17156167685491002737844536582854410240	0.015638437343080542	3	4
8	6	4	19560811960545937656292148090901626880	0.017830353365191146	3	4
8	6	6	0	0	3	4
9	1	2	25938885912730353250167389412082581504	0.023644187299393303	3	2
9	1	4	28238022295016370496002454278075580416	0.025739929245771215	3	2
9	1	6	16787683976038352596227419108693508096	0.015302551759081819	3	2
9	2	2	100867854132079431662439788128543703040	0.091944520809827168	3	2
9	2	4	115132483199269966756430676136443248640	0.10494722117852319	3	2
9	2	6	66267959531542295304790179844542431232	0.060405525988431832	3	2
9	3	2	174019724972457205702297398288932929536	0.15862496889345337	3	2
9	3	4	183088730033268635690973254141205282816	0.16689167915226727	3	2
9	3	6	103484939300262513424516769570378219520	0.094330084018022473	3	2
9	4	2	95118968788715069799512486329460981760	0.086704213948593279	3	2
9	4	4	93366100041009971607776140543546884096	0.085106413753109487	3	2
9	4	6	58023853002031115206516759061959016448	0.052890739133062390	3	2
9	6	2	17159230374418630127388631778866495488	0.015641229089452696	3	2
9	6	4	19556843230341878411072724553848324096	0.017826735731010509	3	2
9	6	6	0	0	3	2
10	1	2	25934104210356505951735423858775162880	0.023639828613098233	2	2
10	1	4	28244661403864817944313691949422870528	0.025745981021997915	2	2
10	1	6	16787662779212723685997505736156905472	0.015302532437445685	2	2
10	2	2	100893787227614213876971180168467972096	0.091968159718997763	2	2
10	2	4	115097215836373324288954504129391099904	0.10491507376337632	2	2
10	2	6	66268506670287827932933193961069084672	0.060406024724230341	2	2
10	3	2	173991062035218488341036685751861903360	0.15859884163961128	2	2
10	3	4	183128554302615309529561087588587012096	0.16692798034448740	2	2
10	3	6	103486159818450245443262654738803458048	0.094331196562359579	2	2
10	4	2	95143463485028236348302037586490163200	0.086726541707365140	2	2
10	4	4	93337440520453533008826928372729774080	0.085080289613690891	2	2
10	4	6	58024378880758824062134827484509634560	0.052891218489622905	2	2
10	6	2	17163899887689330830914112926947213312	0.015645485511518814	2	2
10	6	4	19550381731258408791168236923366932480	0.017820845852197733	2	2
10	6	6	0	0	2	2
11	1	2	25928643361677878641534369563376877568	0.023634850861570834	3	4
11	1	4	28250103641386513618336919139448258560	0.025750941808815193	3	4
11	1	6	16787013144978206964494509152506216448	0.015301940273481177	3	4
11	2	2	100886203167246698310868849782442426368	0.091961246586937167	3	4
11	2	4	115107754259569898913887954883487727616	0.10492467989884175	3	4
11	2	6	66268450889174405248777113376747683840	0.060405973877825527	3	4
11	3	2	173955754716597896420008992958807277568	0.15856665780344679	3	4
11	3	4	183162557371359449895771035067752644608	0.16695897531199856	3	4
11	3	6	103483383896921976774427171149085409280	0.094328666214342181	3	4
11	4	2	95136249054976576629538050841352601600	0.086719965506059744	3	4
11	4	4	93346141056734848433951816433480499200	0.085088220451974875	3	4
11	4	6	58024266458206791048182705251512483840	0.052891116012597257	3	4
11	6	2	17162791752520423362257810720368361472	0.015644475408171475	3	4
11	6	4	19551966017830225774074772856210718720	0.017822289983937468	3	4
11	6	6	0	0	3	4
12	1	2	25929970729644515573600906514014404608	0.023636060803159072	2	6
12	1	4	28247061086356859886945312330328571904	0.025748168415184030	2	6
12	1	6	16786706365110996281886949152670089216	0.015301660633073165	2	6
12	2	2	100868921292623655074150245606373720064	0.091945493563393803	2	6
12	2	4	115133753586855037405750790717410639872	0.10494837918053242	2	6
12	2	6	66268772382792719247598879234766929920	0.060406266930324102	2	6
12	3	2	173962736069885541836312357315901652992	0.15857302154725953	2	6
12	3	4	183144436582693618773546664511995379712	0.16694245758943063	2	6
12	3	6	103480874100814250239822272046653505536	0.094326378448805371	2	6
12	4	2	95119908906622773991196336453987598336	0.086705070898424049	2	6
12	4	4	93367257420534579907201434996021657600	0.085107468744381988	2	6
12	4	6	58024496377924520397953466440897003520	0.052891325592333569	2	6
12	6	2	17159717716919024327866384470176169984	0.015641673318915636	2	6
12	6	4	19556666170403697092280071385381863424	0.017826574334782635	2	6
12	6	6	0	0	2	6
13	1	2	25935360267408996929974267998206164992	0.023640973552333778	2	6
13	1	4	28241843255865632284004959544779210752	0.025743412183098884	2	6
13	1	6	16787364735121451197821394377970286592	0.015302260759998117	2	6
13	2	2	100872436212158815550522294462173937664	0.091948697533530040	2	6
13	2	4	115127605843913191679237317090017804288	0.10494277530124190	2	6
13	2	6	66268730289781176932094830245746573312	0.060406228561095283	2	6
13	3	2	173996655223437719562502595342575337472	0.15860394002318493	2	6
13	3	4	183112064775626919697579851396742643712	0.16691294957308482	2	6
13	3	6	103483511142333525189545416996776050688	0.094328782202914464	2	6
13	4	2	95123284100567640870871370604132433920	0.086708147503875521	2	6
13	4	4	93362019516913245622022823216723001344	0.085102694214947853	2	6
13	4	6	58024557448283467117723447300926210048	0.052891381260067729	2	6
13	6	2	17160189579773283206576661933066289152	0.015642103438148331	2	6
13	6	4	19555656397996724195634840666743242752	0.017825653892478345	2	6
13	6	6	0	0	2	6
14	1	2	25937471303911250329765285536970309632	0.023642897834765301	3	2
14	1	4	28243601250648370495393857070537113600	0.025745014655851733	3	2
14	1	6	16788564085770541247327833659996635136	0.015303354009395186	3	2
14	2	2	100889245853328564181387192214784835584	0.091964020100026933	3	2
14	2	4	115091735759797766232981458352529735680	0.10491007848495906	3	2
14	2	6	66265125452561561908266010262227648512	0.060402942627894792	3	2
14	3	2	174015014975077220648173336086618046464	0.15862067556872822	3	2
14	3	4	183122058851741967262750587284273233920	0.16692205951744957	3	2
14	3	6	103492112919654619089570936047680880640	0.094336623019007024	3	2
14	4	2	95139176369908261987498573072919691264	0.086722633854375163	3	2
14	4	4	93333203106058578963013849583915630592	0.085076427064622418	3	2
14	4	6	58021369030544524743545312179384221696	0.052888474907556603	3	2
14	6	2	17163164457110470251288019427546628096	0.015644815141233414	3	2
14	6	4	19549435373068092695149820397194575872	0.017819983214134578	3	2
14	6	6	0	0	3	2
15	1	2	25921693639277048614865398566985138176	0.023628515950400136	3	4
15	1	4	28252157020404038822304202957095174144	0.025752813534464874	3	4
15	1	6	16785036482073630490961513411191504896	0.015300138477208938	3	4
15	2	2	100887543234327178788911877473131560960	0.091962468104204764	3	4
15	2	4	115128446626144082712237895638809837568	0.10494354170318422	3	4
15	2	6	66274450813032968857323117305653100544	0.060411443014933854	3	4
15	3	2	173906357013945546785218165700988764160	0.15852163009726074	3	4
15	3	4	183176307551018536666440465417240576000	0.16697150907402494	3	4
15	3	6	103470865066612258260923665547324817408	0.094317254869629529	3	4
15	4	2	95137452223968284766326377063901036544	0.086721062236007533	3	4
15	4	4	93362838694750879661800403128440324096	0.085103440923742120	3	4
15	4	6	58029514205352431189007448976715153408	0.052895899514742601	3	4
15	6	2	17162975591113386775394996573385523200	0.015644642983376498	3	4
15	6	4	19555640627161517644396543415716675584	0.017825639516819238	3	4
15	6	6	0	0	3	4
16	1	2	25937795775166947097839911950167834624	0.023643193601482837	4	4
16	1	4	28243330349512209902268077857019265024	0.025744767720141982	4	4
16	1	6	16788606597534957312847178183875756032	0.015303392760331663	4	4
16	2	2	100855989764116604855867691637571321856	0.091933706030069634	4	4
16	2	4	115129196932444708661055390972628697088	0.10494422563320202	4	4
16	2	6	66262929251804455913063803898006863872	0.060400940715313704	4	4
16	3	2	174016806803822785789783725843809304576	0.15862230888230272	4	4
16	3	4	183120309415160545012177196367910797312	0.16692046484579179	4	4
16	3	6	103492334587460033308263457223727906816	0.094336825076841238	4	4
16	4	2	95107788126556563056938014011773943808	0.086694022390208837	4	4
16	4	4	93363478338280798782766572949097938944	0.085104023980835518	4	4
16	4	6	58019407071654042038065330241314750464	0.052886686514499309	4	4
16	6	2	17157464115266737293571778029799079936	0.015639619083442912	4	4
16	6	4	19555841660400401011603942009875726336	0.017825822765535839	4	4
16	6	6	0	0	4	4
17	1	2	25935231028108579828247978401886896128	0.023640855746263163	2	4
17	1	4	28241944723813887431713808810873192448	0.025743504674626141	2	4
17	1	6	16787324396678002669721980925361782784	0.015302223990118506	2	4
17	2	2	100888610240499690526521043111032913920	0.091963440717056270	2	4
17	2	4	115109545786698567364296154750396661760	0.10492631293748206	2	4
17	2	6	66269725580782633974415406881132511232	0.060407135803100010	2	4
17	3	2	173995927534343702059712143681640202240	0.15860327670952942	2	4
17	3	4	183112668105631408599934135926087745536	0.16691349952914992	2	4
17	3	6	103483308712907568985258326567426195456	0.094328597681525291	2	4
17	4	2	95138518057371475245717497574473072640	0.086722033779839437	2	4
17	4	4	93347510580801556258349224652766707712	0.085089468820299298	2	4
17	4	6	58025424734614670696688626090536599552	0.052892171821409730	2	4
17	6	2	17162943498403871074888295484053520384	0.015644613729767176	2	4
17	6	4	19552595808526175320647448318911184896	0.017822864059833578	2	4
17	6	6	0	0	2	4
18	1	2	25929717760842540455708891587968761856	0.023635830213389144	6	4
18	1	4	28247285558562931659904885476103815168	0.025748373029325968	6	4
18	1	6	16786708967977716167846367361599799296	0.015301663005675768	6	4
18	2	2	100892577638969539433105260547351248896	0.091967057137315338	6	4
18	2	4	115106817463228202603132490813165010944	0.10492382597673272	6	4
18	2	6	66270483103456025161390989211349286912	0.060407826311089962	6	4
18	3	2	173961402645484760795302141919074713600	0.15857180608502311	6	4
18	3	4	183145899806369743648862874041025822720	0.16694379136817408	6	4
18	3	6	103480891305507687477428157673258352640	0.094326394131475607	6	4
18	4	2	95142291800787444533974092146270011392	0.086725473676851484	6	4
18	4	4	93345333209258864857669894093311836160	0.085087484071195232	6	4
18	4	6	58026070749603841256439368321574371328	0.052892760686307534	6	4
18	6	2	17163838204968755360471759457085292544	0.015645429285595953	6	4
18	6	4	19551960574163736624874898527440863232	0.017822285021848098	6	4
18	6	6	0	0	6	4
19	1	2	25928752013716560784567625024154894336	0.023634949901643785	3	2
19	1	4	28250007492633318919236482788912791552	0.025750854165917314	3	2
19	1	6	16787031602632660728881068157253451776	0.015301957098268505	3	2
19	2	2	100869151478208703877357011751424491520	0.091945703385477328	3	2
19	2	4	115127035743850122226617219431968800768	0.10494225563541215	3	2
19	2	6	66267267354680207425617750304890028032	0.060404895045398019	3	2
19	3	2	173956280123662936496640925081458966528	0.15856713673007055	3	2
19	3	4	183162057683162456901729134962802688000	0.16695851982900824	3	2
19	3	6	103483446192954666807161393355656527872	0.094328722999320143	3	2
19	4	2	95120143039215763739557736204199788544	0.086705284318341163	3	2
19	4	4	93361756174598634284381303158685564928	0.085102454169364112	3	2
19	4	6	58023180101704989300621276258735489024	0.052890125761254585	3	2
19	6	2	17159790375690894846030044232740241408	0.015641739549887037	3	2
19	6	4	19555379412469873697713100463695462400	0.017825401410637062	3	2
19	6	6	0	0	3	2
20	1	2	25934482324068299972374779153629577216	0.023640173276760820	4	2
20	1	4	28244329273407701766428459427176644608	0.025745678273654663	4	2
20	1	6	16787666021518393952931489145354715136	0.015302535392918900	4	2
20	2	2	100861492320986188615418359691631132672	0.091938721800048642	4	2
20	2	4	115133915634504414028408382990315421696	0.10494852689254234	4	2
20	2	6	66266172630012353230716392385747615744	0.060403897166183965	4	2
20	3	2	173993078825638095664094018338314780672	0.15860068001349462	4	2
20	3	4	183126409474885642691865309253239570432	0.16692602526018903	4	2
20	3	6	103486183478707930282519408261761859584	0.094331218129498821	4	2
20	4	2	95112931643558473640365750134855696384	0.086698710882990676	4	2
20	4	4	93367292456698361024329102440945156096	0.085107500681051184	4	2
20	4	6	58022264930823539895537936909817872384	0.052889291551496897	4	2
20	6	2	17158317090423782328626544582340902912	0.015640396599657091	4	2
20	6	4	19556742683948612942496138461448241152	0.017826644079512344	4	2
20	6	6	0	0	4	2
21	1	2	25938781402081615345857031275710251008	0.023644092034339828	3	4
21	1	4	28238125468999275388495601827980509184	0.025740023292407775	3	4
21	1	6	16787661038994170432783510596006969344	0.015302530851176577	3	4
21	2	2	100893563880161018709165034494511546368	0.091967956130106785	3	4
21	2	4	115103331224760388634438059782429474816	0.10492064815037654	3	4
21	2	6	66269896752540579887572978811220787200	0.060407291832048935	3	4
21	3	2	174019315266542280773113876094625251328	0.15862459543241026	3	4
21	3	4	183089063358928002016720274174647468032	0.16689198299007851	3	4
21	3	6	103484901564546828909838929647433154560	0.094330049620618802	3	4
21	4	2	95143231470892444319283096896957054976	0.086726330218494676	3	4
21	4	4	93342406509301673135187373950725259264	0.085084816283450230	3	4
21	4	6	58025630878780559151125306750885953536	0.052892359728912209	3	4
21	6	2	17163832920446345930148284280153833472	0.015645424468571889	3	4
21	6	4	19551537052206607402382712593291673600	0.017821898967006982	3	4
21	6	6	0	0	3	4
22	1	2	25930634306934925123992224331498258432	0.023636665676698933	3	2
22	1	4	28246051626734502554159957493562736640	0.025747248257993682	3	2
22	1	6	16786690364802016518488543639453564928	0.015301646048240815	3	2
22	2	2	100913579701673645417011851019721637888	0.091986201240339661	3	2
22	2	4	115083847339792755036458131692214812672	0.10490288791861314	3	2
22	2	6	66272262609532979543325132068285841408	0.060409448392127886	3	2
22	3	2	173965966298366777230413667728806117376	0.15857596601170134	3	2
22	3	4	183139896909384951818829532935286161408	0.16693831952095886	3	2
22	3	6	103480433191217862465719025389612826624	0.094325976544532606	3	2
22	4	2	95162131674534359331555869078247702528	0.086743558404639972	3	2
22	4	4	93326718725289844241168612560881057792	0.085070516328365958	3	2
22	4	6	58027628610297995136113307166898651136	0.052894180729950228	3	2
22	6	2	17167523005788531120980977622729097216	0.015648788108370257	3	2
22	6	4	19547914424830644497895238449380720640	0.017818596817466660	3	2
22	6	6	0	0	3	2
23	1	2	25916492563979438178560354422653714432	0.023623774991250669	3	4
23	1	4	28263762812565999405819893491496386560	0.025763392613480005	3	4
23	1	6	16786035627440784048597395851991580672	0.015301049232600661	3	4
23	2	2	100848101337912411733081166188621332480	0.091926515458072945	3	4
23	2	4	115149307093245488491149578864286498816	0.10496255673694311	3	4
23	2	6	66265309207378134694248539468895092736	0.060403110126734751	3	4
23	3	2	173877846978422814621255076928745897984	0.15849564221859549	3	4
23	3	4	183247494575856059214318256892223160320	0.16703639849734898	3	4
23	3	6	103479948373256230929575349639186481152	0.094325534616273640	3	4
23	4	2	95100250858022942274867997443203530752	0.086687151910515363	3	4
23	4	4	93380078795731825842268141378879881216	0.085119155869172907	3	4
23	4	6	58021276533653839704997419240055111680	0.052888390593457095	3	4
23	6	2	17156271960260170165270371050622812160	0.015638532393121669	3	4
23	6	4	19559102071455650732102530315717705728	0.017828794742432715	3	4
23	6	6	0	0	3	4
24	1	2	25929792866694247007094733318649806848	0.023635898674958042	4	4
24	1	4	28251746442690514755369499502573518848	0.025752439278747332	4	4
24	1	6	16787982967881754724590497955552690176	0.015302824300438073	4	4
24	2	2	100776754503307848372723354703579054080	0.091861480362645766	4	4
24	2	4	115221562567867108579202211073272840192	0.10502842008902030	4	4
24	2	6	66257769636954299909373401757508435968	0.060396237548789118	4	4
24	3	2	173969162774823230115702548538222182400	0.15857887971001084	4	4
24	3	4	183165156292501542991470032214432940032	0.16696134431807179	4	4
24	3	6	103489966893130873360665557762813460480	0.094334666841966590	4	4
24	4	2	95032752547524874953915047455274041344	0.086625624877273521	4	4
24	4	4	93438257762103186028056816444594192384	0.085172187999480956	4	4
24	4	6	58014876681879651460940154849579761664	0.052882556908288566	4	4
24	6	2	17143371203836543705146888500790951936	0.015626772909610684	4	4
24	6	4	19572125647986114071861327099735310336	0.017840666180698424	4	4
24	6	6	0	0	4	4
25	1	2	25987214754683270852216669301676965888	0.023688240702262727	1	6
25	1	4	28183658847904572008306605181940793344	0.025690375092594528	1	6
25	1	6	16791781875018006985525539386865745920	0.015306287135047268	1	6
25	2	2	100973570734003323986736990474215620608	0.092040885131138176	1	6
25	2	4	115019184892836964408194343148219006976	0.10484394587259761	1	6
25	2	6	66277802637696197685624325291968036864	0.060414498318480766	1	6
25	3	2	174331935694702571221926273106971721728	0.15890955971275396	1	6
25	3	4	182746736927557193787677616906543562752	0.16657994066535816	1	6
25	3	6	103499708251507380181338749139274432512	0.094343546425414375	1	6
25	4	2	95218843169816744355350538777784221696	0.086795252884541566	1	6
25	4	4	93272762858858962901561403775968608256	0.085021333699008438	1	6
25	4	6	58033523876268232921143203253643640832	0.052899554467791129	1	6
25	6	2	17177245379534141408933988217097551872	0.015657650386673547	1	6
25	6	4	19537308888794227331575825214409277440	0.017808929506337756	1	6
25	6	6	0	0	1	6
26	1	2	25979487606184628285599921196947734528	0.023681197140445662	2	2
26	1	4	28181803143265033143488117590254944256	0.025688683553944132	2	2
26	1	6	16787485112342920836726878768153493504	0.015302370487978748	2	2
26	2	2	101351419843669099728869780315902574592	0.092385307599778665	2	2
26	2	4	114626193811287784962193800573638148096	0.10448572097541420	2	2
26	2	6	66315662609626579882985614661646286848	0.060449008985996845	2	2
26	3	2	174240010066390750450145325275796209664	0.15882576633856157	2	2
26	3	4	182787115439401545008177749714400182272	0.16661674706869139	2	2
26	3	6	103469484914510418453088718048106381312	0.094315996813485277	2	2
26	4	2	95577306306117745772465548738871427072	0.087122004371214676	2	2
26	4	4	92956815916064342935254308556317392896	0.084733337186080318	2	2
26	4	6	58065603793565162163845730929309908992	0.052928796416565243	2	2
26	6	2	17245290484714611863229772951260758016	0.015719675842088514	2	2
26	6	4	19467599742041166550040803855973744640	0.017745387219754763	2	2
26	6	6	0	0	2	2
27	1	2	25647295439658820883671837083772649472	0.023378392546942568	3	4
27	1	4	28566764562652642900108636632165384192	0.026039589137694504	3	4
27	1	6	16759728583875018457815288590458945536	0.015277069456928916	3	4
27	2	2	100425552430542608946318629604295704576	0.091541347585303888	3	4
27	2	4	115597819837971211846321152962164948992	0.10537139154111083	3	4
27	2	6	66220189232681020340328011497230827520	0.060361981716814921	3	4
27	3	2	172093662821580191611228643203548708864	0.15686929694983847	3	4
27	3	4	185210183649806901714068622365920591872	0.16882545714200693	3	4
27	3	6	103375193848109888042081987574343139328	0.094230047261059068	3	4
27	4	2	94702414124179351129029988394477813760	0.086324510034483201	3	4
27	4	4	93758540772122352226484290517899149312	0.085464136986927252	3	4
27	4	6	57971519227292606049449447689933553664	0.052843035096113206	3	4
27	6	2	17084865630493382900083578812302884864	0.015573443065806360	3	4
27	6	4	19637548628215792989121956248064884736	0.017900301478969884	3	4
27	6	6	0	0	3	4
28	1	2	25231864381160955726149529916755935232	0.022999712838409365	3	2
28	1	4	29101812266666379995315684890330005504	0.026527303535698096	3	2
28	1	6	16746238513995141133651783464674918400	0.015264772793918992	3	2
28	2	2	96927676747802168889408462071248453632	0.088352913507180344	3	2
28	2	4	119347898695957281515134369481952854016	0.10878971749404627	3	2
28	2	6	65855992459084751174251770607885615104	0.060030003822401240	3	2
28	3	2	169955166462798808933764182190141210624	0.15491998391395045	3	2
28	3	4	187912097375943696185077490242956558336	0.17128834450048930	3	2
28	3	6	103472117101715156139876781653315551232	0.094318396142719589	3	2
28	4	2	91334308959031388732966712464640049152	0.083254366249713770	3	2
28	4	4	96754945441495432253520819038510383104	0.088195462976246748	3	2
28	4	6	57664482424525989275466189421821296640	0.052563160482498522	3	2
28	6	2	16433474900795365718765697563149467648	0.014979677995483523	3	2
28	6	4	20313203058209274362762598169196888064	0.018516183747243800	3	2
28	6	6	0	0	3	2
29	1	2	28100622581574107326577718633248587776	0.025614684677810899	1	6
29	1	4	25648452471677409398247653191062650880	0.023379447221451371	1	6
29	1	6	17152098970009151860278121361955618816	0.015634728568877807	1	6
29	2	2	104289616023537866002828855088410263552	0.095063574547438268	1	6
29	2	4	111037514225848034463493416341678850048	0.10121451601460272	1	6
29	2	6	67113687041988150721649763259747663872	0.061176435723279675	1	6
29	3	2	191454583731763956857970521467514781696	0.17451744274257887	1	6
29	3	4	162903133210007337362381601419839930368	0.14849181288025472	1	6
