k	d	w	mass	p_cond	kw_d	kw_w
29	3	6	105639858184048915005155737474537881600	0.096294366750699099	1	6
29	4	2	98431657452841453508388350240873250816	0.089723843685302220	1	6
29	4	4	89615981318058220150364231288544559104	0.081688051461885720	1	6
29	4	6	59002875214250278413250716159833014272	0.053783151576443991	1	6
29	6	2	17860689605272078301606461625597952000	0.016280633321885341	1	6
29	6	4	18800508758304830663918923623734181888	0.017137310827489303	1	6
29	6	6	0	0	1	6
30	1	2	49040526234857413973417294836946436096	0.044702127587858577	3	6
30	1	4	0	0	3	6
30	1	6	18453856640564941253971928294294028288	0.016821325490757833	3	6
30	2	2	206322843647448484927528989443103916032	0.18807037340603396	3	6
30	2	4	0	0	3	6
30	2	6	78535503900802849760045409864586887168	0.071587814917350700	3	6
30	3	2	333294946067008340910353947023000993792	0.30380981501144304	3	6
30	3	4	0	0	3	6
30	3	6	113059964721297817848810873079845617664	0.10305804925188400	3	6
30	4	2	194609408558849792228060264068420730880	0.17739317415831344	3	6
30	4	4	0	0	3	6
30	4	6	68902517445668147670035900910381563904	0.062807016205948027	3	6
30	6	2	34831711572684001463887463655999012864	0.031750303970410433	3	6
30	6	4	0	0	3	6
30	6	6	0	0	3	6
